precision,recall,f1,result_labels,id
0.0,0.0,0.0,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],28_LDA_5_True_DBSCAN_0.1_2.csv
0.0,0.0,0.0,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0],28_LDA_10_True_DBSCAN_0.1_2.csv
0.36363636363636365,0.6666666666666666,0.4705882352941177,[1 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0 1],28_LDA_20_True_DBSCAN_0.1_2.csv
0.5,0.16666666666666666,0.25,[0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],28_LDA_5_True_DBSCAN_0.2_2.csv
0.2,0.16666666666666666,0.1818181818181818,[0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1],28_LDA_10_True_DBSCAN_0.2_2.csv
0.3333333333333333,0.6666666666666666,0.4444444444444444,[1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1],28_LDA_20_True_DBSCAN_0.2_2.csv
0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],28_LDA_5_True_DBSCAN_0.3_2.csv
0.3333333333333333,0.16666666666666666,0.2222222222222222,[0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0],28_LDA_10_True_DBSCAN_0.3_2.csv
0.25,0.5,0.3333333333333333,[0 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1],28_LDA_20_True_DBSCAN_0.3_2.csv
0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],28_LDA_5_True_DBSCAN_0.4_2.csv
0.0,0.0,0.0,[1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0],28_LDA_10_True_DBSCAN_0.4_2.csv
0.4444444444444444,0.6666666666666666,0.5333333333333333,[0 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 1],28_LDA_20_True_DBSCAN_0.4_2.csv
1.0,0.16666666666666666,0.2857142857142857,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],28_LDA_5_True_DBSCAN_0.5_2.csv
0.6666666666666666,0.3333333333333333,0.4444444444444444,[0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0],28_LDA_10_True_DBSCAN_0.5_2.csv
0.4444444444444444,0.6666666666666666,0.5333333333333333,[0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 0 1],28_LDA_20_True_DBSCAN_0.5_2.csv
0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],28_LDA_5_True_DBSCAN_0.6_2.csv
0.0,0.0,0.0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],28_LDA_10_True_DBSCAN_0.6_2.csv
0.36363636363636365,0.6666666666666666,0.4705882352941177,[1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0],28_LDA_20_True_DBSCAN_0.6_2.csv
0.0,0.0,0.0,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],28_LDA_5_True_DBSCAN_0.7_2.csv
0.3333333333333333,0.16666666666666666,0.2222222222222222,[0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0],28_LDA_10_True_DBSCAN_0.7_2.csv
0.42857142857142855,0.5,0.4615384615384615,[1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1],28_LDA_20_True_DBSCAN_0.7_2.csv
